Date,Open,High,Low,Close,Volume
14-08-2014,276,276,268.75,272.4,2321776
18-08-2014,273.8,277.9,273,273.6,2499975
19-08-2014,275.45,289.65,275.2,287.15,5479772
20-08-2014,287.95,297.5,284.95,293.15,11384639
21-08-2014,294.4,301.35,293.35,296.9,6936813
22-08-2014,296.95,300.4,294.25,297.7,4107903
25-08-2014,297.3,301,291.7,293.35,2557796
26-08-2014,292.5,300.9,289.25,298,2768112
27-08-2014,299.25,302.7,284.3,288.25,3607703
28-08-2014,289.7,293.85,281.35,282.85,3637436
01-09-2014,285.8,287.55,276.3,286.5,3598155
02-09-2014,285.9,291.5,285.9,288.85,2060621
03-09-2014,290.15,294.95,287.95,289.1,2780904
04-09-2014,289.1,292.9,286.4,289.3,5686505
05-09-2014,290.8,292.9,286.4,290.15,1540290
08-09-2014,289.75,301.5,289.75,299.8,3472358
09-09-2014,300.8,301.2,293.65,295.2,1903788
10-09-2014,291,296.75,288,293.45,3601230
11-09-2014,294.7,295.45,290.1,293.45,1911504
12-09-2014,294.15,299.9,292.55,293.5,2602822
15-09-2014,291.9,294,288.5,291.8,1273200
16-09-2014,291.8,292.8,278.4,279.7,2068845
17-09-2014,280,284,271.8,282.45,2458969
18-09-2014,280,296,278.15,294.6,3210047
19-09-2014,294.8,295.4,283.6,284.95,3571431
22-09-2014,283.9,288.7,282.05,285.8,1729402
23-09-2014,287.3,288.4,272.1,273.1,2629647
24-09-2014,274.8,274.8,261.1,268.25,5118762
25-09-2014,271,271.45,264.25,267.9,5305786
26-09-2014,269,281.75,267.25,279.95,3311604
29-09-2014,281.9,285.7,277.1,281.45,4799075
30-09-2014,278.7,285.85,275.1,277.55,2567794
01-10-2014,277.05,283.35,272.5,275.15,1937730
07-10-2014,274.15,275.15,256.5,259.9,5687206
08-10-2014,260.9,264.85,258.55,261.15,2156752
09-10-2014,262.75,270.7,262.65,269.8,2010254
10-10-2014,268,268,257.6,258.9,1876136
13-10-2014,257,263.8,252,260.5,2155274
14-10-2014,263,264.5,255,260.15,3429442
16-10-2014,258.7,262.5,251.05,252.95,2214333
17-10-2014,254.45,255.55,244.1,250.35,3201427
20-10-2014,253.9,261.65,253.5,258.9,2122596
21-10-2014,260.95,265,257.6,261.9,1999783
22-10-2014,264.5,269.85,263.2,269,2777106
23-10-2014,270.05,271.4,269.05,270,296522
27-10-2014,270.8,270.9,262.65,263.85,893003
28-10-2014,263.5,266.05,260,261.4,1208043
29-10-2014,264,272.5,262.9,271.95,2843234
30-10-2014,272.8,274.45,270.1,271.85,2122837
31-10-2014,275.8,288,274.3,285.65,2716153
03-11-2014,287.4,293.5,283.5,291.5,2314825
05-11-2014,292,294.6,285.1,288.75,1797633
07-11-2014,288.6,295.75,284.05,292.9,1615079
10-11-2014,292.95,300.95,287.4,290.7,5822567
11-11-2014,294,296.45,289,291.5,1984726
12-11-2014,295.6,306.35,295,300.7,6066400
13-11-2014,302.1,304.9,291.3,294.25,2585938
14-11-2014,295.25,298.9,292.3,297.25,1540791
17-11-2014,297.2,297.2,292.4,296.1,1170407
18-11-2014,297,305,296.8,303.1,2537080
19-11-2014,304.7,307.25,296,300.15,3988326
20-11-2014,299.95,301.9,292.45,300.25,1669583
21-11-2014,300.05,304.75,297.55,303.05,3515231
24-11-2014,302,308.75,302,306.3,3374221
25-11-2014,306,306.8,294.5,298.7,2054557
26-11-2014,297.2,300.6,293.05,296.8,1374295
27-11-2014,294.55,298,289,290.35,2123941
28-11-2014,290.05,297.85,288.5,290.25,1925459
01-12-2014,290,292.45,284,289,1974590
02-12-2014,288,291.6,285,286.15,2280967
03-12-2014,285.75,293,285.75,291.25,1637493
04-12-2014,291.45,293.65,285,286.2,1869475
05-12-2014,286.55,291.15,283,284.55,2638164
08-12-2014,282.6,284.7,276,276.8,1157284
09-12-2014,275.05,279.85,266.05,269.2,1934181
10-12-2014,269,277.6,268.35,275.25,1964268
11-12-2014,273.6,282.5,270.25,278.1,3450618
12-12-2014,279.75,287.45,275.55,277.45,5222845
15-12-2014,275.55,289.45,274.5,288.05,2084321
16-12-2014,286.8,286.8,272,274.5,1933499
17-12-2014,273.65,278.15,267.55,273.75,2231001
18-12-2014,278,291,277.65,289.95,3335626
19-12-2014,292,293.7,286.1,289.9,3204495
22-12-2014,290.6,292.95,285.1,290.3,1909478
23-12-2014,291.55,295.9,287,288.15,2092865
24-12-2014,287.9,287.9,282,283.05,2631645
26-12-2014,284.4,290,283.3,289.2,1208404
29-12-2014,291.45,294.5,287.95,293.1,1377996
30-12-2014,293.8,317.1,293.8,316,8904689
31-12-2014,316.8,321.3,311.4,319.05,3559436
01-01-2015,319,322.5,316.25,319.55,1456204
02-01-2015,319.35,325.8,318.05,319.35,2894058
05-01-2015,320.45,327.5,319.35,323.8,2099786
06-01-2015,321.65,331.45,315.6,321.85,3672197
07-01-2015,321.95,328.7,317.4,321.1,2981544
08-01-2015,326,337.3,323.55,334.55,2932673
09-01-2015,339.9,343.1,327.35,331.15,3543488
12-01-2015,332.15,335.75,325.55,328.45,2990475
13-01-2015,330.2,331.3,320.75,323,2688701
14-01-2015,324,333.9,322.65,331.25,2272652
15-01-2015,334,337.3,326.25,330.6,2140699
16-01-2015,329.8,334.6,326,330.85,1970666
19-01-2015,332.05,334.8,326.6,328.35,1362398
20-01-2015,329,332.65,326.85,330.5,1091657
21-01-2015,330.35,333.5,326.2,329.35,1514648
22-01-2015,329.05,331.65,327,329.4,1376133
23-01-2015,332,352.75,330.1,346.9,7519790
27-01-2015,348,349.45,340.9,345.15,2928237
28-01-2015,343.4,350,333.9,339.25,3391819
29-01-2015,340.65,348.4,337.65,344.15,4034959
30-01-2015,346.4,352,323.5,341.05,4373172
02-02-2015,339.5,343.9,333,335.9,1735161
